result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp
Code Vein Deluxe Edition,2019,7.96,10/16/22 22:03:52
Code Vein,2019,3.27,10/16/22 22:03:52
Dragon Ball Z Kakarot,2020,5.48,10/16/22 22:03:54
Dragon Ball Z Kakarot Ultimate Edition,2020,20.64,10/16/22 22:03:54
Dragon Ball Z Kakarot Deluxe Edition,2020,13.57,10/16/22 22:03:54
Dragon Ball Z Kakarot A New Power Awakens Set,2020,5.43,10/16/22 22:03:54
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,17.16,10/16/22 22:03:56
Assassins Creed Valhalla Complete Edition,2022,35.80,10/16/22 22:03:58
Assassins Creed Valhalla Dawn Of Ragnarok,2022,15.74,10/16/22 22:03:58
Assassins Creed Valhalla Ragnarok Edition,2022,18.66,10/16/22 22:03:58
Assassins Creed Valhalla Deluxe Edition,2021,15.08,10/16/22 22:03:58
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,16.97,10/16/22 22:03:58
Assassins Creed Valhalla,2020,9.90,10/16/22 22:03:58
Assassins Creed Valhalla Ultimate Edition,2020,42.44,10/16/22 22:03:58
Assassins Creed Valhalla Gold Edition,2020,39.86,10/16/22 22:03:58
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,19.62,10/16/22 22:03:58
Azure Striker Gunvolt 3,2022,3.58,10/16/22 22:03:59
Azure Striker Gunvolt 2,2016,2.58,10/16/22 22:03:59
Azure Striker Gunvolt,2014,1.98,10/16/22 22:03:59
Batman Arkham Collection,2018,8.20,10/16/22 22:04:01
Bayonetta Vanquish 10Th Anniversary Bundle,2020,7.07,10/16/22 22:04:03
Bayonetta,2009,6.63,10/16/22 22:04:03
Forza Horizon 5 Hot Wheels,2022,8.09,10/16/22 22:04:05
Forza Horizon 5,2021,21.31,10/16/22 22:04:05
Forza Horizon 5 Deluxe Edition,2021,26.36,10/16/22 22:04:05
Forza Horizon 5 Premium Edition,2021,27.12,10/16/22 22:04:05
Gunvolt Chronicles Luminous Avenger Ix 2,2022,6.60,10/16/22 22:04:07
Gunvolt Chronicles Luminous Avenger Ix,2019,7.53,10/16/22 22:04:07
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,16.97,10/16/22 22:04:09
Immortals Fenyx Rising Gold Edition,2020,11.12,10/16/22 22:04:09
Gods Monsters,2020,6.61,10/16/22 22:04:09
Lost Judgment,2021,18.29,10/16/22 22:04:10
Lost Judgment Digital Deluxe Edition,2021,24.23,10/16/22 22:04:10
Judgment,2018,6.98,10/16/22 22:04:10
Gears Of War Juxxxxxx(dement),2013,5.21,10/16/22 22:04:10
Pathfinder Wrath Of The Righteous The Treasure Of The Midnight Isles,2022,4.90,10/16/22 22:04:12
Pathfinder Wrath Of The Righteous Through The Ashes,2022,4.91,10/16/22 22:04:12
Pathfinder Wrath Of The Righteous,2021,17.92,10/16/22 22:04:12
Oddworld Strangers Wrath Hd,2011,4.23,10/16/22 22:04:12
Oddworld Strangers Wrath,2005,12.46,10/16/22 22:04:12
Pathfinder Wrath Of The Righteous Inevitable Excess,,4.90,10/16/22 22:04:12
White Shadows,2021,6.04,10/16/22 22:04:12
White Noise 2 2,2017,2.73,10/16/22 22:04:12
White Day A Labyrinth Named School,2015,5.02,10/16/22 22:04:12
White Night,2015,5.01,10/16/22 22:04:12
Little Witch In The Woods,2022,6.59,10/16/22 22:04:12
Destiny 2 The Witch Queen,2022,10.87,10/16/22 22:04:12
Destiny 2 The Witch Queen Deluxe Edition,2022,23.46,10/16/22 22:04:12
Destiny 2 The Witch Queen Deluxe Bungie 30Th Anniversary Bundle,2022,29.65,10/16/22 22:04:12
Trigger Witch,2021,4.53,10/16/22 22:04:12
Blair Witch,2019,3.28,10/16/22 22:04:12
The Witchs House Mv,2018,3.01,10/16/22 22:04:12
Dead By Daylight Hour Of The Witch Chapter,,0.84,10/16/22 22:04:12
Shred Remastered,2022,5.24,10/16/22 22:04:12
Crypt Of The Serpent King Remastered 4K Edition,2022,1.08,10/16/22 22:04:12
Sticktype Remastered,2022,2.76,10/16/22 22:04:12
Life Is Strange Remastered Collection,2022,19.61,10/16/22 22:04:12
Life Is Strange Remastered,2022,32.99,10/16/22 22:04:12
Elasto Mania Remastered,2022,4.50,10/16/22 22:04:12
Draculas Legacy Remastered,2021,6.22,10/16/22 22:04:12
Alan Wake Remastered,2021,5.18,10/16/22 22:04:12
Crysis Remastered Trilogy,2021,11.32,10/16/22 22:04:12
Violett Remastered,2021,2.17,10/16/22 22:04:12
Shadow Man Remastered,2021,2.16,10/16/22 22:04:12
3D Billiards Pool Snooker Remastered,2021,6.17,10/16/22 22:04:12
Beyond Enemy Lines Remastered Edition,2020,7.85,10/16/22 22:04:12
Need For Speed Hot Pursuit Remastered,2020,4.22,10/16/22 22:04:12
Crysis Remastered,2020,3.33,10/16/22 22:04:12
Saints Row The Third Remastered,2020,6.30,10/16/22 22:04:12
Call Of Duty Modern Warfare 2 Campaign Remastered,2020,13.12,10/16/22 22:04:12
Wasteland Remastered,2020,1.77,10/16/22 22:04:12
Reed Remastered,2020,2.27,10/16/22 22:04:12
The Yakuza Remastered Collection,2020,8.31,10/16/22 22:04:12
Ghostbusters The Video Game Remastered,2019,5.50,10/16/22 22:04:12
Final Fantasy Viii Remastered,2019,6.55,10/16/22 22:04:12
Yakuza 5 Remastered,2019,6.79,10/16/22 22:04:12
Sniper Elite V2 Remastered,2019,3.62,10/16/22 22:04:12
Assassins Creed Iii Remastered,2019,4.05,10/16/22 22:04:12
Yakuza 4 Remastered,2019,6.86,10/16/22 22:04:12
Spyro Crash Remastered Game Bundle,2018,38.77,10/16/22 22:04:12
Mark Of The Ninja Remastered,2018,3.69,10/16/22 22:04:12
Yakuza 3 Remastered,2018,6.86,10/16/22 22:04:12
Forsaken Remastered,2018,17.65,10/16/22 22:04:12
Lumines Remastered,2018,7.47,10/16/22 22:04:12
Dark Souls Remastered,2018,6.92,10/16/22 22:04:12
Assassins Creed Rogue Remastered,2018,3.48,10/16/22 22:04:12
Burnout Paradise Remastered,2018,3.93,10/16/22 22:04:12
The Raven Remastered,2018,1.83,10/16/22 22:04:12
Call Of Duty Modern Warfare Remastered,2016,4.62,10/16/22 22:04:12
Rocksmith 2014 Edition Remastered,2016,9.13,10/16/22 22:04:12
Bioshock Remastered,2016,3.46,10/16/22 22:04:12
Bioshock 2 Remastered,2016,3.26,10/16/22 22:04:12
Castle Crashers Remastered,2015,9.38,10/16/22 22:04:12
Black Desert Online,2015,16.62,10/16/22 22:04:12
Crysis 3 Remastered,,3.25,10/16/22 22:04:12
Crysis 2 Remastered,,2.17,10/16/22 22:04:12
Nier Replicant Ver 1 22474487139,2021,16.88,10/16/22 22:04:14
Nier Replicant,2010,52.33,10/16/22 22:04:14
Nierautomata Become As Gods Edition,2018,11.55,10/16/22 22:04:15
No More Heroes Iii,2021,33.23,10/16/22 22:04:16
Octopath Traveler,2018,16.19,10/16/22 22:04:17
Ori And The Will Of The Wisps,2020,3.01,10/16/22 22:04:19
Overcooked 2 Gourmet Edition,2020,1.11,10/16/22 22:04:21
Overcooked 2 Night Of The Hangry Horde,2019,7.18,10/16/22 22:04:21
Overcooked 2 Campfire Cook Off,2019,1.84,10/16/22 22:04:21
Overcooked 2 2,2018,0.56,10/16/22 22:04:21
Overcooked 2 Carnival Of Chaos,2018,1.84,10/16/22 22:04:21
Overcooked Overcooked 2,,2.07,10/16/22 22:04:21
Persona 5 Royal,2019,30.18,10/16/22 22:04:22
Scarlet Nexus,2021,1.87,10/16/22 22:04:24
Scarlet Nexus Ultimate Edition,2021,19.40,10/16/22 22:04:24
Scarlet Nexus Deluxe Edition,2021,12.49,10/16/22 22:04:24
Sd Gundam Battle Alliance,2022,29.01,10/16/22 22:04:25
Soul Hackers 2,2022,33.97,10/16/22 22:04:27
Tales Of Arise Ultimate Edition,2021,45.59,10/16/22 22:04:28
Tales Of Arise,2021,15.59,10/16/22 22:04:28
Tales Of Arise Deluxe Edition,2021,37.71,10/16/22 22:04:28
Like A Dragon Ishin,2023,32.07,10/16/22 22:04:30
The Yakuza Remastered Collection,2020,8.31,10/16/22 22:04:30
Yakuza Like A Dragon Legendary Hero Edition,2020,44.43,10/16/22 22:04:30
Yakuza Like A Dragon,2020,12.77,10/16/22 22:04:30
Yakuza Like A Dragon Day One Edition,2020,36.76,10/16/22 22:04:30
Yakuza Like A Dragon Hero Edition,2020,15.24,10/16/22 22:04:30
Yakuza 4 Remastered,2019,6.86,10/16/22 22:04:30
Yakuza 5 Remastered,2019,6.79,10/16/22 22:04:30
Yakuza 3 Remastered,2018,6.86,10/16/22 22:04:30
Yakuza Kiwami 2,2017,2.23,10/16/22 22:04:30
Yakuza Kiwami,2016,1.17,10/16/22 22:04:30
Yakuza 6 The Song Of Life,2016,3.23,10/16/22 22:04:30
Yakuza 0,2015,1.21,10/16/22 22:04:30
Devil May Cry 5 Special Edition,2020,11.54,10/16/22 22:04:32
Red Dead Redemption 2,2018,7.72,10/16/22 22:04:33
Red Dead Redemption 2 Ultimate Edition,2018,18.01,10/16/22 22:04:33
Red Dead Redemption 2 Special Edition,,29.39,10/16/22 22:04:33
